Time North East
11:34:14 4734118.144 268387.796
11:34:16 4734115.539 268391.784
11:34:18 4734114.831 268393.559
11:34:20 4734110.942 268398.097
11:34:22 4734107.842 268403.071
11:34:24 4734108.488 268404.982
11:34:26 4734104.725 268409.433
11:34:28 4734104.593 268414.301
11:34:30 4734101.785 268418.829
11:34:32 4734098.715 268421.049
11:34:34 4734098.629 268425.463
11:34:36 4734095.205 268429.948
11:34:38 4734095.193 268432.156
11:34:40 4734091.855 268436.849
11:34:42 4734092.056 268440.977
11:34:44 4734088.223 268445.676
11:34:46 4734088.521 268447.849
11:34:48 4734085.131 268452.244
11:34:50 4734084.916 268456.813
11:34:52 4734081.714 268461.146
11:34:54 4734078.399 268463.289
11:34:56 4734078.222 268467.655
11:34:58 4734074.723 268472.547
11:35:00 4734075.258 268475.002
11:35:02 4734072.237 268479.454
11:35:04 4734072.107 268483.321
11:35:06 4734067.911 268488.736
11:35:08 4734069.208 268490.578
11:35:10 4734065.327 268494.866
11:35:12 4734061.909 268499.191
11:35:14 4734061.672 268501.643
11:35:16 4734058.699 268505.573
11:35:18 4734057.831 268510.280
11:35:20 4734054.916 268512.482
11:35:22 4734051.702 268517.179
11:35:24 4734051.895 268521.557
11:35:26 4734048.482 268523.857
11:35:28 4734048.523 268528.162
11:35:30 4734045.005 268530.867
11:35:32 4734045.599 268535.236
11:35:34 4734042.079 268539.832
11:35:36 4734042.230 268541.772
11:35:38 4734038.519 268546.543
11:35:40 4734035.753 268550.754
11:35:42 4734035.325 268553.381
11:35:44 4734032.585 268557.752
11:35:46 4734032.331 268561.638
11:35:48 4734028.267 268564.029
11:35:50 4734028.451 268568.680
11:35:52 4734025.328 268573.403
11:35:54 4734025.620 268575.758
11:35:56 4734025.583 268579.605
11:35:58 4734021.359 268584.928
11:36:00 4734022.544 268586.448
11:36:02 4734018.203 268591.562
11:36:04 4734019.035 268595.325
11:36:06 4734017.834 268597.971
11:36:08 4734015.141 268602.777
11:36:10 4734015.550 268604.384
11:36:12 4734014.530 268607.174
11:36:14 4734012.037 268611.530
11:36:16 4734011.805 268613.845
11:36:18 4734011.791 268616.122
11:36:20 4734011.710 268618.533
11:36:22 4734008.665 268622.780
11:36:24 4734008.310 268625.068
11:36:26 4734005.170 268627.535
11:36:28 4734005.412 268632.302
11:36:30 4734008.724 268633.939
11:36:32 4734007.636 268635.975
11:36:34 4734010.347 268638.934
11:36:36 4734011.153 268638.848
11:36:38 4734014.017 268640.947
11:36:40 4734016.723 268641.288
11:36:42 4734020.160 268641.039
11:36:44 4734019.650 268641.500
11:36:46 4734023.378 268641.762
11:36:48 4734026.752 268638.755
11:36:50 4734025.606 268638.876
11:36:52 4734025.905 268636.382
11:36:54 4734028.730 268635.042
11:36:56 4734029.977 268631.918
11:36:58 4734028.839 268629.945
11:37:00 4734029.368 268627.959
11:37:02 4734029.894 268623.331
11:37:04 4734032.925 268621.338
11:37:06 4734033.245 268619.163
11:37:08 4734036.530 268616.973
11:37:10 4734039.671 268614.482
